wl,n,k,l
0.2,1.396,1.10E-07,0.0000002
0.225,1.373,4.90E-08,0.000000225
0.25,1.362,3.35E-08,0.00000025
0.275,1.354,2.35E-08,0.000000275
0.3,1.349,1.60E-08,0.0000003
0.325,1.346,1.08E-08,0.000000325
0.35,1.343,6.50E-09,0.00000035
0.375,1.341,3.50E-09,0.000000375
0.4,1.339,1.86E-09,0.0000004
0.425,1.338,1.30E-09,0.000000425
0.45,1.337,1.02E-09,0.00000045
0.475,1.336,9.35E-10,0.000000475
0.5,1.335,1.00E-09,0.0000005
0.525,1.334,1.32E-09,0.000000525
0.55,1.333,1.96E-09,0.00000055
0.575,1.333,3.60E-09,0.000000575
0.6,1.332,1.09E-08,0.0000006
0.625,1.332,1.39E-08,0.000000625
0.65,1.331,1.64E-08,0.00000065
0.675,1.331,2.23E-08,0.000000675
0.7,1.331,3.35E-08,0.0000007
0.725,1.33,9.15E-08,0.000000725
0.75,1.33,1.56E-07,0.00000075
0.775,1.33,1.48E-07,0.000000775
0.8,1.329,1.25E-07,0.0000008
0.825,1.329,1.82E-07,0.000000825
0.85,1.329,2.93E-07,0.00000085
0.875,1.328,3.91E-07,0.000000875
0.9,1.328,4.86E-07,0.0000009
0.925,1.328,1.06E-06,0.000000925
0.95,1.327,2.93E-06,0.00000095
0.975,1.327,3.48E-06,0.000000975
1,1.327,2.89E-06,0.000001
1.2,1.324,9.89E-06,0.0000012
1.4,1.321,1.38E-04,0.0000014
1.6,1.317,8.55E-05,0.0000016
1.8,1.312,1.15E-04,0.0000018
2,1.306,1.10E-03,0.000002
2.2,1.296,2.89E-04,0.0000022
2.4,1.279,9.56E-04,0.0000024
2.6,1.242,3.17E-03,0.0000026
2.65,1.219,6.70E-03,0.00000265
2.7,1.188,0.019,0.0000027
2.75,1.157,0.059,0.00000275
2.8,1.142,0.115,0.0000028
2.85,1.149,0.185,0.00000285
2.9,1.201,0.268,0.0000029
2.95,1.292,0.298,0.00000295
3,1.371,0.272,0.000003
3.05,1.426,0.24,0.00000305
3.1,1.467,0.192,0.0000031
3.15,1.483,0.135,0.00000315
3.2,1.478,0.0924,0.0000032
3.25,1.467,0.061,0.00000325
3.3,1.45,0.0368,0.0000033
3.35,1.432,0.0261,0.00000335
3.4,1.42,0.0195,0.0000034
3.45,1.41,0.0132,0.00000345
3.5,1.4,0.0094,0.0000035
3.6,1.385,0.00515,0.0000036
3.7,1.374,0.0036,0.0000037
3.8,1.364,0.0034,0.0000038
3.9,1.357,0.0038,0.0000039
4,1.351,0.0046,0.000004
4.1,1.346,0.00562,0.0000041
4.2,1.342,0.00688,0.0000042
4.3,1.338,0.00845,0.0000043
4.4,1.334,0.0103,0.0000044
4.5,1.332,0.0134,0.0000045
4.6,1.33,0.0147,0.0000046
4.7,1.33,0.0157,0.0000047
4.8,1.33,0.015,0.0000048
4.9,1.328,0.0137,0.0000049
5,1.325,0.0124,0.000005
5.1,1.322,0.0111,0.0000051
5.2,1.317,0.0101,0.0000052
5.3,1.312,0.0098,0.0000053
5.4,1.305,0.0103,0.0000054
5.5,1.298,0.0116,0.0000055
5.6,1.289,0.0142,0.0000056
5.7,1.277,0.0203,0.0000057
5.8,1.262,0.033,0.0000058
5.9,1.248,0.0622,0.0000059
6,1.265,0.107,0.000006
6.1,1.319,0.131,0.0000061
6.2,1.363,0.088,0.0000062
6.3,1.357,0.057,0.0000063
6.4,1.347,0.0449,0.0000064
6.5,1.339,0.0392,0.0000065
6.6,1.334,0.0356,0.0000066
6.7,1.329,0.0337,0.0000067
6.8,1.324,0.0327,0.0000068
6.9,1.321,0.0322,0.0000069
7,1.317,0.032,0.000007
7.1,1.314,0.032,0.0000071
7.2,1.312,0.0321,0.0000072
7.3,1.309,0.0322,0.0000073
7.4,1.307,0.0324,0.0000074
7.5,1.304,0.0326,0.0000075
7.6,1.302,0.0328,0.0000076
7.7,1.299,0.0331,0.0000077
7.8,1.297,0.0335,0.0000078
7.9,1.294,0.0339,0.0000079
8,1.291,0.0343,0.000008
8.2,1.286,0.0351,0.0000082
8.4,1.281,0.0361,0.0000084
8.6,1.275,0.0372,0.0000086
8.8,1.269,0.0385,0.0000088
9,1.262,0.0399,0.000009
9.2,1.255,0.0415,0.0000092
9.4,1.247,0.0433,0.0000094
9.6,1.239,0.0454,0.0000096
9.8,1.229,0.0479,0.0000098
10,1.218,0.0508,0.00001
10.5,1.185,0.0662,0.0000105
11,1.153,0.0968,0.000011
11.5,1.126,0.142,0.0000115
12,1.111,0.199,0.000012
12.5,1.123,0.259,0.0000125
13,1.146,0.305,0.000013
13.5,1.177,0.343,0.0000135
14,1.21,0.37,0.000014
14.5,1.241,0.388,0.0000145
15,1.27,0.402,0.000015
15.5,1.297,0.414,0.0000155
16,1.325,0.422,0.000016
16.5,1.351,0.428,0.0000165
17,1.376,0.429,0.000017
17.5,1.401,0.429,0.0000175
18,1.423,0.426,0.000018
18.5,1.443,0.421,0.0000185
19,1.461,0.414,0.000019
19.5,1.476,0.404,0.0000195
20,1.48,0.393,0.00002
21,1.487,0.382,0.000021
22,1.5,0.373,0.000022
23,1.511,0.367,0.000023
24,1.521,0.361,0.000024
25,1.531,0.356,0.000025
26,1.539,0.35,0.000026
27,1.545,0.344,0.000027
28,1.549,0.338,0.000028
29,1.551,0.333,0.000029
30,1.551,0.328,0.00003
32,1.546,0.324,0.000032
34,1.536,0.329,0.000034
36,1.527,0.343,0.000036
38,1.522,0.361,0.000038
40,1.519,0.385,0.00004
42,1.522,0.409,0.000042
44,1.53,0.436,0.000044
46,1.541,0.462,0.000046
48,1.555,0.488,0.000048
50,1.587,0.514,0.00005
60,1.703,0.587,0.00006
70,1.821,0.576,0.00007
80,1.886,0.547,0.00008
90,1.924,0.536,0.00009
100,1.957,0.532,0.0001
110,1.966,0.531,0.00011
120,2.004,0.526,0.00012
130,2.036,0.514,0.00013
140,2.056,0.5,0.00014
150,2.069,0.495,0.00015
160,2.081,0.496,0.00016
170,2.094,0.497,0.00017
180,2.107,0.499,0.00018
190,2.119,0.501,0.00019
200,2.13,0.504,0.0002
